Date	ChainId	Indicator	Verdict	ThreatCategory	Metric
8/20/23	56	0xa4a887698f4accf6d5f45d5250fad42f1899618c	TP	scammer-deployed-contract	precision
8/20/23	56	0x508c7fcea9cdb4a4bcd8707f34564cfe036102a6	TP	sleep-minting	precision
8/19/23	56	0xc5087553d9acae0e8cf79149e00a71c740fd06c5	TP	ice-phishing	precision
8/19/23	56	0x029d74da4d2c44f4b3a8e8b84e9285d60dfd6525	TP	ice-phishing	precision
8/20/23	56	0x941203ff6781bcb286c3f046cb534cd40da7235f	TP	ice-phishing	precision
8/20/23	56	0x0c18252161e498b03049fed73afb2a97bf99c287	TP	ice-phishing	precision
8/15/23	56	0x245f68cf710cbc3d22fb7735f6557bf0a534e6c3	TP	ice-phishing	precision
8/20/23	56	0x66178e7328f47e3610bf1ce54da7efdf657e9765	TP	ice-phishing	precision
8/16/23	56	0x0d6d316ee9a8b438255b66f819e0b75a244dfb0a	Likely FP	ice-phishing	precision
8/19/23	56	0xd34ec39655b825076d6fc1dd19c26bd37974a9c4	Likely FP	ice-phishing	precision
8/20/23	56	0x006fbb53988b6abfc75e62dc9cc322c058fd6224	TP	ice-phishing	precision
8/20/23	56	0xf105d8147dbf8f4f5915ed344adf547059f236ae	TP	ice-phishing	precision
8/20/23	56	0x080a4a89bcce8d574193557eee5cac4fdda1b331	TP	ice-phishing	precision
8/19/23	56	0xef905c152525f026b2543dd3c6dc3d930655624d	TP	ice-phishing	precision
8/20/23	56	0xa61cb0ed5698279b7948bb6e241cfd8517bfe36a	TP	ice-phishing	precision
8/16/23	56	0xb0a5ce5f5b870e7907a78acad85350046d3010be	TP	ice-phishing	precision
7/31/23	56	0x613C6F064A06C91B2f69459169B7ea739023193A	FN	hard-rug-pull	recall
7/31/23	56	0x0003fd282af2c5f9555584f8714066d4b4f80f00	TP	ice-phishing	recall
8/30/23	1	0x7c8820c78419d99ddc6f844529d9261b19628a58	Likely TP	soft-rug-pull	precision
8/29/23	1	0x26dfeb6952f53c39b2dd78fb1efc06296f7746f6	TP	soft-rug-pull	precision
8/31/23	1	0x0615d8023cd332b5334c6670e9a61aa2851a9312	TP	soft-rug-pull	precision
8/29/23	1	0x06925c00204b4df373896d661280ed8603e9d737	Likely TP	soft-rug-pull	precision
8/30/23	1	0xbd1c6e88f8c9fe4a548e608191b3fae6ffd344b8	TP	soft-rug-pull	precision
8/29/23	1	0xad33379b3f8d3f596ea192eca83ed6e2ae8170cb	TP	soft-rug-pull	precision
8/29/23	1	0xe3eec877748d909c1f625fbf06797d3ea9e206d9	Likely TP	soft-rug-pull	precision
8/30/23	1	0xab24cd3edd371bec8cb40323aaa773056e6e3d6f	TP	soft-rug-pull	precision
8/29/23	1	0x38501a139a31d0394f4eed90ac0c9860367017e3	TP	soft-rug-pull	precision
8/31/23	1	0xd57c3c078ebc4d8718f641328a3d2ede58373fa3	TP	soft-rug-pull	precision
8/31/23	1	0x50c85850f97941f84d7f283f587ae6fa7f6e6b84	LIKELY TP	soft-rug-pull	precision
8/30/23	1	0xeaa08226e2c38c9ca5124222340191b6592b092e	Likely TP	soft-rug-pull	precision
8/31/23	1	0x6fd4f127613934d8f548c1ed68bd30801697a333	TP	soft-rug-pull	precision
8/30/23	1	0x0501fd42249cfcb443b2b5b4a6bc255dbaab84b0	TP	soft-rug-pull	precision
8/29/23	1	0x690fa9282c212c8da06da792eae0153bd6eb9666	TP	soft-rug-pull	precision
8/30/23	1	0xd4f25a705828544aa78055af31e7f896b76bae66	TP	soft-rug-pull	precision
8/30/23	1	0x0b78053d4d376a6fca5e439b5f751c2a1bfa7c94	TP	address-poisoner	precision
8/30/23	1	0x15199e20b666c7cbcc2d905fdb075afce0db829a	TP	address-poisoner	precision
8/31/23	1	0x469c4b985d86bd749d3bf3597f2038bec7939d48	TP	address-poisoner	precision
8/29/23	1	0x2ffbfee569ee68f81611a1e024aa817e29524a4c	TP	address-poisoner	precision
8/31/23	1	0x1a43ddc861d72b07f65b5af92d34c641d0657f1d	TP	address-poisoner	precision
8/30/23	1	0x13cb32c4c19d92f7f7924d8c90316d2454572830	TP	address-poisoner	precision
8/30/23	1	0x01cea8d383bd577ab16fda82ee3955ec405526d3	TP	address-poisoner	precision
