bot_id,alert_id,type,location,attacker_address_location_in_description,metadata_field,address_information
0x186f424224eac9f0dc178e32d1af7be39506333783eec9463edd247dc8df8058,FLD_Laundering,eoa,description,0,,
0xbc06a40c341aa1acc139c900fd1b7e3999d71b80c13a9dd50a369d8f923757f5,FLASHBOTS-TRANSACTIONS,eoa,description,0,,
0x186f424224eac9f0dc178e32d1af7be39506333783eec9463edd247dc8df8058,FLD_NEW_FUNDING,eoa,description,4,,
0x9aaa5cd64000e8ba4fa2718a467b90055b70815d60351914cc1cbe89fe1c404c,SUSPICIOUS-CONTRACT-CREATION,eoa,description,0,,
0x457aa09ca38d60410c8ffa1761f535f23959195a56c9b82e0207801e86b34d99,SUSPICIOUS-CONTRACT-CREATION,eoa,description,0,,
0xe4a8660b5d79c0c64ac6bfd3b9871b77c98eaaa464aa555c00635e9d8b33f77f,ASSET-DRAINED,eoa,metadata,,initiators,
0x887678a85e645ad060b2f096812f7c71e3d20ed6ecf5f3acde6e71baa4cf86ad,SAFE-TOKEN-CONTRACT-CREATION,eoa,description,0,,
0xabdeff7672e59d53c7702777652e318ada644698a9faf2e7f608ec846b07325b,MEV-ACCOUNT,eoa,description,0,,
0x186f424224eac9f0dc178e32d1af7be39506333783eec9463edd247dc8df8058,FLD_FUNDING,eoa,description,0,,
0x127e62dffbe1a9fa47448c29c3ef4e34f515745cb5df4d9324c2a0adae59eeef,AK-AZTEC-PROTOCOL-FUNDING,eoa,description,8,,
0x9aaa5cd64000e8ba4fa2718a467b90055b70815d60351914cc1cbe89fe1c404c,SAFE-CONTRACT-CREATION,eoa,description,0,,
0x15e9b3cd277d3be1fcfd5e23d61b3496026d8c3d9c98ef47a48e37b3c216ab9f,nft-sale,eoa,metadata,,initiator,
0x15e9b3cd277d3be1fcfd5e23d61b3496026d8c3d9c98ef47a48e37b3c216ab9f,nft-sale,eoa,metadata,,from_addr,
0x15e9b3cd277d3be1fcfd5e23d61b3496026d8c3d9c98ef47a48e37b3c216ab9f,nft-sale,eoa,metadata,,to_addr,
0x15e9b3cd277d3be1fcfd5e23d61b3496026d8c3d9c98ef47a48e37b3c216ab9f,nft-sale,eoa,metadata,,fromAddr,
0x15e9b3cd277d3be1fcfd5e23d61b3496026d8c3d9c98ef47a48e37b3c216ab9f,nft-sale,eoa,metadata,,toAddr,
0x15e9b3cd277d3be1fcfd5e23d61b3496026d8c3d9c98ef47a48e37b3c216ab9f,scammer-nft-trader,eoa,metadata,,initiator,
0x15e9b3cd277d3be1fcfd5e23d61b3496026d8c3d9c98ef47a48e37b3c216ab9f,scammer-nft-trader,eoa,metadata,,from_addr,
0x15e9b3cd277d3be1fcfd5e23d61b3496026d8c3d9c98ef47a48e37b3c216ab9f,scammer-nft-trader,eoa,metadata,,to_addr,
0x15e9b3cd277d3be1fcfd5e23d61b3496026d8c3d9c98ef47a48e37b3c216ab9f,scammer-nft-trader,eoa,metadata,,fromAddr,
0x15e9b3cd277d3be1fcfd5e23d61b3496026d8c3d9c98ef47a48e37b3c216ab9f,scammer-nft-trader,eoa,metadata,,toAddr,
0x15e9b3cd277d3be1fcfd5e23d61b3496026d8c3d9c98ef47a48e37b3c216ab9f,nft-sold-above-floor-price,eoa,metadata,,initiator,
0x15e9b3cd277d3be1fcfd5e23d61b3496026d8c3d9c98ef47a48e37b3c216ab9f,nft-sold-above-floor-price,eoa,metadata,,from_addr,
0x15e9b3cd277d3be1fcfd5e23d61b3496026d8c3d9c98ef47a48e37b3c216ab9f,nft-sold-above-floor-price,eoa,metadata,,to_addr,
0x15e9b3cd277d3be1fcfd5e23d61b3496026d8c3d9c98ef47a48e37b3c216ab9f,nft-sold-above-floor-price,eoa,metadata,,fromAddr,
0x15e9b3cd277d3be1fcfd5e23d61b3496026d8c3d9c98ef47a48e37b3c216ab9f,nft-sold-above-floor-price,eoa,metadata,,toAddr,
