banned_address,wallet_tag,data_source
0x34278f6f40079eae344cbac61a764bcf85afc949,Fake_Phishing4953,etherscan-phish-hack-list
0x344ddcdc306a75621866fd65619b5cfb329e1986,Fake_Phishing1661,etherscan-phish-hack-list
0x345092a86c71a7f3a4efae41ddd6de67a6a13e10,Fake_Phishing3731,etherscan-phish-hack-list
0x3468ad77c3e0f9165f06f578a49212719a9b713b,Fake_Phishing5334,etherscan-phish-hack-list
0x346b909240978658ec69c3f6e0d7cbef50bc3c79,Fake_Phishing1027,etherscan-phish-hack-list
0x34743ffa1f93e745668725e44efeb3c50a237796,Fake_Phishing102,etherscan-phish-hack-list
0x34959919244b18128d084834dba11f0c91732ede,Fake_Phishing159,etherscan-phish-hack-list
0x34a7d1d88df5dc079aea794e10862add93ab1292,Fake_Phishing145,etherscan-phish-hack-list
0x34b4da7b89f7d7055f8d42fa297b70963b4008df,Fake_Phishing659,etherscan-phish-hack-list
0x34b6341655061f4b5830cd1a7b20a3516043af57,Fake_Phishing1564,etherscan-phish-hack-list
0x34bb6cf517abb83bfd8bc4e41ed899810ac49b58,Fake_Phishing1064,etherscan-phish-hack-list
0x34c99a666a9e5f95b7076cdc92113174e4b351c5,Fake_Phishing1447,etherscan-phish-hack-list
0x34d202c37f9609a3d0d44db259ff51bae8ea2d0f,Fake_Phishing1596,etherscan-phish-hack-list
0x34d891216ca79efa979bb5c8ab321fd721e861cf,Fake_Phishing835,etherscan-phish-hack-list
0x34eea3e741f9a3e77fb34e0793b1af36edc2b0ae,Fake_Phishing581,etherscan-phish-hack-list
0x352c94f714f5112e4dba9f5c79689f8282a4b28d,Fake_Phishing884,etherscan-phish-hack-list
0x35309e0e5e86902fbd53d2d0c2f25da9f3842db3,Fake_Phishing4187,etherscan-phish-hack-list
0x3533104fd03ff652d7e041ec259080f75f243f3f,Fake_Phishing2275,etherscan-phish-hack-list
0x354d4f3eb48be676a030f98e2a6c5bc06b96e249,Fake_Phishing110,etherscan-phish-hack-list
0x3553c762797202d4eb9648052d012d7cfea16b75,Fake_Phishing5391,etherscan-phish-hack-list
0x356149c2eeb5aaa1030022d22134abed97bd496e,Fake_Phishing3947,etherscan-phish-hack-list
0x356f1b9ac8dd5b38d3644b3696741355cda0a6e5,Fake_Phishing684,etherscan-phish-hack-list
0x3572dc43e9ae991828633339086e6e1425e64281,Fake_Phishing4682,etherscan-phish-hack-list
0x3580b10e7b6401f1f6d86f782a5409fb5198ff68,Fake_Phishing4553,etherscan-phish-hack-list
0x35810a676a84ec4db68c0a9286f7a740fda10b29,Fake_Phishing1908,etherscan-phish-hack-list
0x358ad81db399b7601e8fcea1bfb01af31e646206,Fake_Phishing2636,etherscan-phish-hack-list
0x358ef89b4d37f16002cc4a853b321daeee423519,Fake_Phishing445,etherscan-phish-hack-list
0x35919ff0a88a0bdfd1b0ef3be574bcf6c1e90e01,Fake_Phishing1097,etherscan-phish-hack-list
0x3595d24f7b4a48cb1c10af07ff8d31777104e171,Fake_Phishing3207,etherscan-phish-hack-list
0x35a0d3ab1bdaa5de4466dac63eace2b6b2147538,Fake_Phishing4071,etherscan-phish-hack-list
0x35a95d5f0c8f676bb7b2dab47d6368a4ad5cbf8a,Fake_Phishing4013,etherscan-phish-hack-list
